"class_key","class_code","class_name","enrollment_count","grade_level","major_name","is_enabled"
"1","18hg","18化工班","20","中职","化学工艺(中职)","是"
"2","18jd2","18机电2班","41","中职","机电技术应用(中职)","是"
"3","18jd3","18机电3班","20","中职","机电技术应用(中职)","是"
"4","18jdyth","18机电一体化班","6","专科","机电一体化技术","是"
"5","18jsj2","18计算机2班","38","中职","计算机应用(中职)","是"
"6","18jsj3","18计算机3班","35","中职","计算机应用(中职)","是"
"7","18jsj4","18计算机4班","24","中职","计算机应用(中职)","是"
"8","18qcyyywx","18汽车应用与维修班","10","专科","汽车运用与维修技术","是"
"9","18qx2","18汽修2班","34","中职","汽车运用与维修(中职)","是"
"10","18qx3","18汽修3班","27","中职","汽车运用与维修(中职)","是"
"11","18qx4","18汽修4班","27","中职","汽车运用与维修(中职)","是"
"12","18szmt","18数字媒体班","21","专科","数字媒体技术","是"
"13","18xq3","18学前3班","27","中职","学前教育(中职)","是"
"14","18xq4","18学前4班","26","中职","学前教育(中职)","是"
"15","18xq5","18学前5班","25","中职","学前教育(中职)","是"
"16","18xq6","18学前6班","26","中职","学前教育(中职)","是"
"17","18yyhg","18应用化工班","18","专科","应用化工技术","是"
"18","19ds","19电子商务-1","0","专科","电子商务技术","是"
"19","19dzsw","19电子商务班","38","专科","软件技术","是"
"20","19hg","19化工班","25","中职","化学工艺(中职)","是"
"21","19jd1","19机电1班","33","中职","机电技术应用(中职)","是"
"22","19jd2","19机电2班","31","中职","机电技术应用(中职)","是"
"23","19jd3","19机电3班","25","中职","机电技术应用(中职)","是"
"24","19jd4","19机电4班","18","中职","机电技术应用(中职)","是"
"25","19jdyth","19机电一体化班","34","专科","机电一体化技术","是"
"26","19jsj1","19计算机1班","36","中职","计算机应用(中职)","是"
"27","19jsj2","19计算机2班","34","中职","计算机应用(中职)","是"
"28","19jsj3","19计算机3班","35","中职","计算机应用(中职)","是"
"29","19qccswx","19汽车车身维修班","16","专科","汽车车身维修技术","是"
"30","19qcyyywx","19汽车应用与维修班","25","专科","汽车运用与维修技术","是"
"31","19qx1","19汽修1班","34","中职","汽车运用与维修(中职)","是"
