"course_key","course_code","course_name","course_type","total_hours","credits","is_enabled"
"1","000000B0A01","中国特色社会主义","A类(纯理论课)","36","2","是"
"2","000000B0A02","心理健康与职业生涯","A类(纯理论课)","36","2","是"
"3","000000B0A02-1","心理健康与职业生涯1","A类(纯理论课)","2","1","是"
"4","000000B0A02-2","心理健康与职业生涯2","A类(纯理论课)","2","1","是"
"5","000000B0A03","哲学与人生","A类(纯理论课)","72","2","是"
"6","000000B0A04","职业道德与法治","A类(纯理论课)","36","2","是"
"7","000000B0A05","新疆地方史","A类(纯理论课)","36","2","是"
"8","000000B0A06","历史","A类(纯理论课)","36","2","是"
"9","000000B0A06-1","中国历史1","A类(纯理论课)","36","2","是"
"10","000000B0A06-2","中国历史2","A类(纯理论课)","36","2","是"
"11","000000B0A07","语文","A类(纯理论课)","72","4","是"
"12","000000B0A07-1","语文1","A类(纯理论课)","72","4","是"
"13","000000B0A07-2","语文2","A类(纯理论课)","72","4","是"
"14","000000B0A07-3","语文3","A类(纯理论课)","72","4","是"
"15","000000B0A08","数学","A类(纯理论课)","72","4","是"
"16","000000B0A08-1","数学1","A类(纯理论课)","72","4","是"
"17","000000B0A08-2","数学2","A类(纯理论课)","72","4","是"
"18","000000B0A09","英语","A类(纯理论课)","72","4","是"
"19","000000B0A09-1","英语1","A类(纯理论课)","72","4","是"
"20","000000B0A09-2","英语2","A类(纯理论课)","72","4","是"
"21","000000B0A10","公共艺术（美术）","A类(纯理论课)","18","1","是"
"22","000000B0A11","公共艺术（音乐）","A类(纯理论课)","18","1","是"
"23","000000B0A12","入学教育","A类(纯理论课)","0","0.5","是"
"24","000000B0A13","毕业教育","A类(纯理论课)","0","0.5","是"
"25","000000B0A14","自然科学基础","A类(纯理论课)","36","2","是"
"26","000000B0A15","社会科学基础","A类(纯理论课)","36","2","是"
"27","000000B0A16","世界历史","A类(纯理论课)","36","2","是"
"28","000000B0A17","习近平新时代中国特色社会主义思想学生读本","A类(纯理论课)","36","2","是"
"29","000000B0B01","认知实习","B类((理论+实践)课)","96","4","是"
"30","00000GXA01","计算机应用基础","B类((理论+实践)课)","72","4","是"
"31","00000GXA02","体育与健康","B类((理论+实践)课)","36","1","是"
"32","00000GXA02-1","体育与健康1","B类((理论+实践)课)","36","1","是"
"33","00000GXA02-2","体育与健康2","B类((理论+实践)课)","36","1","是"
"34","00000GXA02-3","体育与健康3","B类((理论+实践)课)","36","1","是"
"35","00000GXA02-4","体育与健康4","B类((理论+实践)课)","36","1","是"
"36","00000GXA03","军事理论与军训","B类((理论+实践)课)","60","1","是"
"37","051300B0A01","电工电子基础与技能","B类((理论+实践)课)","72","4","是"
"38","051300B0A02","机械基础","A类(纯理论课)","72","4","是"
"39","051300B0A03","机械识图","B类((理论+实践)课)","72","4","是"
"40","051300B0A04","电工仪表与测量","B类((理论+实践)课)","72","4","是"
"41","051300B0A05","安全用电","B类((理论+实践)课)","72","4","是"
"42","051300B0B01","可编程序控制器及其应用","B类((理论+实践)课)","72","4","是"
"43","051300B0B02","电气控制及 PLC 控制技术","B类((理论+实践)课)","108","6","是"
"44","051300B0B03","电力拖动控制与技能训练","B类((理论+实践)课)","108","6","是"
"45","051300B0B04","照明线路安装与检修","B类((理论+实践)课)","72","4","是"
"46","051300B0B05","液压与气动","B类((理论+实践)课)","72","4","是"
"47","051300B0B06","钳工工艺","B类((理论+实践)课)","108","6","是"
"48","051300B0B07","车工技能训练","B类((理论+实践)课)","144","8","是"
"49","051300B0B08","焊接技术","B类((理论+实践)课)","144","8","是"
"50","051300B0B09","1+X机械产品三维设计","B类((理论+实践)课)","72","4","是"
"51","051300B0C02","金工综合实训","C类(纯实践课)","30","1","是"
"52","051300ZXA01","家电维修（限选）","B类((理论+实践)课)","72","4","是"
"53","051300ZXA02","机电产品安装与调试（限选）","B类((理论+实践)课)","108","6","是"
"54","051300ZXA03","工厂供电（限选）","B类((理论+实践)课)","72","4","是"
"55","051300ZXA04","典型机床电气故障诊断与维修","A类(纯理论课)","72","4","是"
"56","051300ZXA05","机电设备及管理技术","A类(纯理论课)","108","6","是"
"57","051300ZXA06","维修电工（初级）（限选）","B类((理论+实践)课)","72","4","是"
"58","051300ZXA07","维修电工（初级）（限选）","B类((理论+实践)课)","72","4","是"
"59","051300ZXA08","模具数字化设计与制造技术（限选）","B类((理论+实践)课)","108","6","是"
"60","090100B0B03","计算机网络基础","B类((理论+实践)课)","72","4","是"
"61","10000000000","顶岗实习","C类(纯实践课)","480","16","是"
"62","10000000001","顶岗实习","C类(纯实践课)","480","16","是"
"63","10000000002","顶岗实习","C类(纯实践课)","480","16","是"
"64","10000000003","数控车床编程与操作项目教程（限选）","B类((理论+实践)课)","72","4","是"
"65","10000000004","顶岗实习","C类(纯实践课)","480","16","是"
"66","10000000005","顶岗实习","C类(纯实践课)","480","16","是"
"67","100000B0A01","中华优秀传统文化","A类(纯理论课)","4","0.2","是"
"68","100000B0A02","思想道德与法治","A类(纯理论课)","36","2","是"
"69","100000B0A03","毛泽东思想与中国特色社会主义理论体系概论","A类(纯理论课)","36","2","是"
"70","100000B0A04","形势与政策","A类(纯理论课)","16","1","是"
"71","100000B0A04-1","形势与政策1","A类(纯理论课)","8","1","是"
"72","100000B0A04-2","形势与政策2","A类(纯理论课)","8","1","是"
"73","100000B0A04-3","形势与政策3","A类(纯理论课)","8","1","是"
"74","100000B0A04-4","形势与政策4","A类(纯理论课)","8","1","是"
"75","100000B0A05","新疆地方史","A类(纯理论课)","36","2","是"
"76","100000B0A05-1","简明新疆地方史1","A类(纯理论课)","18","1","是"
"77","100000B0A05-2","简明新疆地方史2","A类(纯理论课)","18","1","是"
"78","100000B0A06","习近平新时代中国特色社会主义思想概论","A类(纯理论课)","18","2","是"
"79","100000B0A06-1","习近平新时代中国特色社会主义思想概论1","A类(纯理论课)","36","4","是"
"80","100000B0A06-2","习近平新时代中国特色社会主义思想概论2","A类(纯理论课)","36","4","是"
"81","100000B0A07","中国近现代史纲要","A类(纯理论课)","36","4","是"
"82","100000B0A08","大学生职业发展与就业创业指导","A类(纯理论课)","16","1","是"
"83","100000B0A09","大学英语","A类(纯理论课)","36","2","是"
"84","100000B0A10","高等数学","A类(纯理论课)","72","4","是"
"85","100000B0A11","大学语文","A类(纯理论课)","36","2","是"
"86","100000B0A12","心理健康教育","A类(纯理论课)","32","2","是"
"87","100000B0A13","入学教育","A类(纯理论课)","8","0.5","是"
"88","100000B0A14","毕业教育","A类(纯理论课)","4","0.5","是"
"89","100000B0A15","国家通用语言","A类(纯理论课)","36","2","是"
"90","100000B0A15-1","国家通用语言1","A类(纯理论课)","36","2","是"
"91","100000B0A15-2","国家通用语言2","A类(纯理论课)","36","2","是"
"92","100000B0A16-1","中华民族共同体概论1","A类(纯理论课)","36","4","是"
"93","100000B0A16-2","中华民族共同体概论2","A类(纯理论课)","36","4","是"
"94","100000B0A17-1","普通话正音1","A类(纯理论课)","2","2","是"
"95","100000B0A17-2","普通话正音2","A类(纯理论课)","2","2","是"
"96","100000B0B01","文献检索","B类((理论+实践)课)","34","2","是"
"97","100000B0B02","体育与健康","A类(纯理论课)","36","1","是"
"98","100000B0B02-1","体育与健康1","B类((理论+实践)课)","36","1","是"
"99","100000B0B02-2","体育与健康2","B类((理论+实践)课)","36","1","是"
"100","100000B0B03","军事理论与军训","A类(纯理论课)","60","1","是"
"101","100000B0B04","信息技术","B类((理论+实践)课)","72","4","是"
"102","100000GXA01","四史","A类(纯理论课)","4","1","是"
"103","100000GXA02","劳动教育","A类(纯理论课)","4","1","是"
"104","100000GXA03","创新创业教育","A类(纯理论课)","4","0.5","是"
"105","100000GXA04","公共艺术","A类(纯理论课)","4","0.25","是"
"106","100000GXB03","应用文写作","B类((理论+实践)课)","36","2","是"
"107","160200B0A01","学前儿童发展心理","A类(纯理论课)","36","2","是"
"108","160200B0A02","学前教育基础知识","A类(纯理论课)","36","2","是"
"109","160200B0A03","幼儿园保育","A类(纯理论课)","36","2","是"
"110","160200B0A04","幼儿园游戏","A类(纯理论课)","36","2","是"
"111","160200B0A05","幼儿文学阅读与指导","B类((理论+实践)课)","36","2","是"
"112","160200B0A06","0-3岁婴幼儿抚育与教育","B类((理论+实践)课)","36","2","是"
