"classroom_key","classroom_code","classroom_name","building_name","room_type","capacity","has_air_conditioning"
"1","HXGCZX201","HXGC2#201-化工分析实验室（一）","化学工程实训中心","多媒体教室","50","否"
"2","HXGCZX202","HXGC2#202","化学工程实训中心","多媒体教室","50","否"
"3","HXGCZX203","HXGC2#203-化学分析实验室（二）","化学工程实训中心","多媒体教室","50","否"
"4","HXGCZX204","HXGC2#204","化学工程实训中心","多媒体教室","50","否"
"5","HXGCZX205","HXGC2#205","化学工程实训中心","多媒体教室","50","否"
"6","HXGCZX207","HXGC2#207","化学工程实训中心","多媒体教室","50","否"
"7","HXGCZX209","HXGC2#209","化学工程实训中心","多媒体教室","50","否"
"8","HXGCZX211","HXGC2#211","化学工程实训中心","多媒体教室","50","否"
"9","JDGCZX105","JDGC1#105-智能焊接加工","机电工程实训中心","实训车间","50","否"
"10","JDGCZX106","JDGC1#106-数控仿真机房","机电工程实训中心","机房","50","否"
"11","XXJSZX304","XXJS3#304电子商务机房","信息技术中心","机房","50","是"
"12","XXJSZX303","XXJS3#303机房","信息技术中心","机房","50","否"
"13","XXJSZX301","XXJS3#301多媒体教室","信息技术中心","多媒体教室","50","否"
"14","XXJSZX302","XXJS3#302录播教室","信息技术中心","多媒体教室","50","否"
"15","JDGCZX104","JDGC1#104","机电工程实训中心","多媒体教室","50","否"
"16","ZHL4-406","4#406","综合教学楼","多媒体教室","50","否"
"17","ZHL3-302","3#302","综合教学楼","普通教室","50","否"
"18","XDNYZX302","XDNY3#302-公共机房","现代农业实训中心","机房","50","否"
"19","XDNYZX201","XDNY2#201","现代农业实训中心","多媒体教室","35","否"
"20","CJ1-hangongfang2","CJ1-焊工房2","车间","实训车间","80","否"
"21","CJ1-hangongfang1","CJ1-焊工房1","车间","实训车间","80","否"
"22","ZHL5-511","5-511","综合教学楼","普通教室","50","否"
"23","JDGCZX207","JDGC2#207","机电工程实训中心","多媒体教室","50","否"
"24","QCGCZX3-301","QCGCZX3-301-新能源电机实训室","汽车工程实训中心","汽修实训室","50","否"
"25","CJ1-qiangongfang","CJ1-钳工房","车间","实训车间","80","否"
"26","JXL519","JXL5#519","教学楼","多媒体教室","50","否"
"27","JXL420","JXL4#420","教学楼","多媒体教室","50","否"
"28","XDNYZX306","XDNY3#306","现代农业实训中心","多媒体教室","35","否"
"29","SXL3-305","3#305","实训楼","普通教室","80","否"
"30","XDNYZX209","XDNY2#209","现代农业实训中心","多媒体教室","35","否"
"31","ZHL3-309","3#309","综合教学楼","多媒体教室","50","否"
"32","JNL4#402-蒙台梭立实训室","4#402-蒙台梭立实训室","技能训练中心","蒙台梭立实训室","80","否"
"33","JXL201","JXL2#201","教学楼","多媒体教室","50","否"
"34","HXGCZX307","HXGC3#307","化学工程实训中心","多媒体教室","50","否"
"35","QCGCZX2-205","QCGCZX2-205-汽车钣金综合实训室","汽车工程实训中心","汽修实训室","80","否"
