"dept_key","department_code","department_name","unit_category","unit_type","is_teaching_dept","is_enabled"
"1","1000","学院领导","行政类","直属（校办）","否","是"
"2","1001","党委行政办公室","行政类","直属（校办）","否","是"
"3","1002","纪检监察办公室","行政类","直属（校办）","否","是"
"4","1003","党群办公室","行政类","直属（校办）","否","是"
"5","1004","组织人事处","行政类","直属（校办）","否","是"
"6","1005","交流合作办公室","行政类","直属（校办）","否","是"
"7","1006","教务处","行政类","直属（校办）","否","是"
"8","1007","招生就业办","行政类","直属（校办）","否","是"
"9","1008","学生工作处","行政类","直属（校办）","否","是"
"10","100801","宿管","行政类","直属（校办）","否","是"
"11","1009","计划财务处","行政类","直属（校办）","否","是"
"12","1010","后勤管理服务中心","行政类","直属（校办）","否","是"
"13","101001","项目办","行政类","直属（校办）","否","是"
"14","101002","校医室","行政类","直属（校办）","否","是"
"15","1011","信息管理中心","行政类","直属（校办）","否","是"
"16","101101","超星技术人员","行政类","直属（校办）","否","是"
"17","1012","教科研处","科研机构","直属（校办）","否","是"
"18","2001","公共基础学院","院系","直属（校办）","是","是"
"19","2002","教育艺术学院","院系","直属（校办）","是","是"
"20","2003","机械电气工程学院","院系","直属（校办）","是","是"
"21","2004","信息智能工程学院","院系","直属（校办）","是","是"
"22","2005","化学与材料工程学院","院系","直属（校办）","是","是"
"23","2006","现代农业学院","院系","直属（校办）","是","是"
"24","2007","汽车与智能交通学院","院系","直属（校办）","是","是"
"25","2008","心理教学部","院系","直属（校办）","是","是"
"26","2009","马克思主义学院","院系","直属（校办）","是","是"
"27","2010","继续教育与培训部","院系","直属（校办）","是","是"
"28","2011","新媒体产业学院","院系","校企合办","是","是"
"29","9000","未分配人员","其它",,"否","是"
"30","9001","客座教师组","其它","直属（校办）","否",
"31","LB01","院系",,,,
"32","LB02","科研机构",,,,
"33","LB03","行政类",,,,
"34","LB04","设计类",,,,
"35","LB99","其它",,,,
"36","LB999","铁门关职业技术学院",,,,
